EventDateOfDeath,Total Deaths - Rolling 14 Day Total,Total Deaths - Daily Total
1/17/2021,347,16
1/18/2021,342,21
1/19/2021,341,12
1/20/2021,327,12
1/21/2021,306,12
1/22/2021,294,20
1/23/2021,280,17
1/24/2021,261,17
1/25/2021,246,13
1/26/2021,233,10
1/27/2021,222,20
1/28/2021,223,14
1/29/2021,217,8
1/30/2021,213,8
1/31/2021,200,11
2/1/2021,195,9
2/2/2021,183,9
2/3/2021,180,11
2/4/2021,179,7
2/5/2021,174,10
2/6/2021,164,12
2/7/2021,159,7
2/8/2021,149,11
2/9/2021,147,2
2/10/2021,139,5
2/11/2021,124,7
2/12/2021,117,9
2/13/2021,118,8
2/14/2021,118,5
2/15/2021,112,2
2/16/2021,105,12
2/17/2021,108,1
2/18/2021,98,0
2/19/2021,91,3
2/20/2021,84,0
2/21/2021,72,1
2/22/2021,66,0
2/23/2021,55,0
2/24/2021,53,0
